season,batter_id,batter_name,team,pitches_seen,qualified_300,za_raw,dv_per_100,raw_dv,swing_aggression,za_percentile,low_opposite_support_pitches,low_opposite_support_pct,games_seen,swing_pitches,swing_decision_value_per_100,take_pitches,take_decision_value_per_100,heart_pitches,heart_raw_dv,heart_decision_value_per_100,heart_swing_decision_value_per_100,heart_take_decision_value_per_100,shadow_in_pitches,shadow_in_raw_dv,shadow_in_decision_value_per_100,shadow_in_swing_decision_value_per_100,shadow_in_take_decision_value_per_100,shadow_out_pitches,shadow_out_raw_dv,shadow_out_decision_value_per_100,shadow_out_swing_decision_value_per_100,shadow_out_take_decision_value_per_100,chase_pitches,chase_raw_dv,chase_decision_value_per_100,chase_swing_decision_value_per_100,chase_take_decision_value_per_100,waste_pitches,waste_raw_dv,waste_decision_value_per_100,waste_swing_decision_value_per_100,waste_take_decision_value_per_100,dv_plus
2026,66606,최원준,KT,2168,True,0.570294,6.216152,134.766169,0.284305,64.110429,2168,100.0,119,907,1.491746,1261,4.724406,521,35.248415,1.625849,2.028468,-0.402619,451,16.090284,0.742172,1.194103,-0.451932,397,3.846334,0.177414,-0.676145,0.853559,536,40.291384,1.858459,-0.841705,2.700163,263,39.289752,1.812258,-0.212976,2.025234,103.015856
2026,76290,김현수,KT,2072,True,0.951925,6.608303,136.924039,-0.758917,70.245399,2072,100.0,122,880,2.246308,1192,4.361995,522,35.620737,1.719148,2.112048,-0.392901,421,23.654046,1.141605,1.443496,-0.301891,414,9.991406,0.482211,-0.515097,0.997308,503,37.058159,1.788521,-0.685129,2.47365,212,30.59969,1.476819,-0.10901,1.585829,109.329458
2026,52001,안현민,KT,1411,True,0.444909,7.382802,104.171339,-10.286708,61.656442,1411,100.0,73,495,2.445678,916,4.937125,301,20.574259,1.458133,1.87761,-0.419477,305,13.077564,0.926829,1.295205,-0.368375,266,9.646428,0.683659,-0.18553,0.869189,363,34.507833,2.44563,-0.515687,2.961317,176,26.365256,1.868551,-0.02592,1.894471,121.798835
2026,56034,힐리어드,KT,2149,True,3.244516,6.875117,147.746263,2.784608,91.104294,2149,100.0,121,990,2.499318,1159,4.375799,496,42.731721,1.988447,2.408585,-0.420138,468,19.90955,0.926456,1.493379,-0.566922,411,4.137494,0.192531,-0.522263,0.714794,486,31.519287,1.466696,-0.737035,2.203731,288,49.448211,2.300987,-0.143347,2.444334,113.625144
2026,53036,류현인,KT,717,True,-0.048499,6.653046,47.702343,4.170767,54.294479,717,100.0,62,356,3.026405,361,3.626641,207,13.828163,1.928614,2.606086,-0.677472,142,10.745694,1.498702,1.741893,-0.243191,137,-0.38572,-0.053796,-0.573281,0.519485,142,10.305712,1.437338,-0.713425,2.150762,89,13.208494,1.842189,-0.034869,1.877057,110.049817
2026,67644,이정훈,KT,312,True,0.719557,7.711238,24.059061,-9.77358,66.564417,312,100.0,64,98,2.12647,214,5.584768,68,2.954671,0.94701,1.427416,-0.480406,63,2.742798,0.879102,1.421018,-0.541916,79,4.070124,1.304527,-0.192696,1.497223,71,6.639386,2.128008,-0.511921,2.639929,31,7.652083,2.452591,-0.017348,2.469938,127.08663
2026,79240,허경민,KT,1253,True,-3.508506,5.563278,69.707876,-5.134348,12.576687,1253,100.0,90,502,1.738077,751,3.825202,302,16.434961,1.311649,1.764168,-0.452519,293,11.147119,0.889634,1.284619,-0.394984,232,7.961222,0.635373,-0.07194,0.707313,288,15.337301,1.224046,-1.056739,2.280785,138,18.827274,1.502576,-0.182031,1.684607,92.504633
2026,63722,한승택,KT,1271,True,-1.371003,6.374265,81.016913,-3.266095,37.116564,1271,100.0,99,549,2.269549,722,4.104717,318,25.561323,2.011119,2.401735,-0.390616,264,14.916521,1.173605,1.626397,-0.452792,235,5.143069,0.404647,-0.528429,0.933077,309,15.505607,1.219953,-0.989334,2.209287,145,19.890394,1.56494,-0.24082,1.805761,105.561464
2026,56006,이강민,KT,616,True,-1.939623,6.319671,38.929175,4.247445,32.822086,616,100.0,51,308,2.515636,308,3.804035,171,15.05968,2.444753,2.855949,-0.411195,122,7.196236,1.16822,1.45737,-0.28915,106,2.131321,0.345994,-0.251929,0.597922,124,5.745292,0.932677,-1.062492,1.995169,93,8.796646,1.428027,-0.483262,1.911289,104.682505
2026,66108,홍창기,LG,2161,True,0.764201,7.653659,165.395562,-13.102623,67.791411,2161,100.0,113,758,3.26251,1403,4.391148,569,38.543894,1.783614,2.234517,-0.450903,512,24.931622,1.153708,1.70034,-0.546632,419,21.713564,1.004792,-0.239633,1.244426,443,47.374689,2.192258,-0.359591,2.551849,218,32.831793,1.519287,-0.073122,1.592409,126.159612
