season,batter_id,batter_name,batter_stance,pitches_seen,qualified_300,swing_pct,expected_swing_pct,decision_value,decision_value_per_100,decision_capture_pct,swing_pitches,swing_decision_value_per_100,take_pitches,take_decision_value_per_100,in_zone_pitches,in_zone_decision_value_per_100,out_zone_pitches,out_zone_decision_value_per_100,heart_pitches,heart_decision_value_per_100,heart_swing_decision_value_per_100,heart_take_decision_value_per_100,shadow_pitches,shadow_decision_value_per_100,shadow_swing_decision_value_per_100,shadow_take_decision_value_per_100,chase_pitches,chase_decision_value_per_100,chase_swing_decision_value_per_100,chase_take_decision_value_per_100,waste_pitches,waste_decision_value_per_100,waste_swing_decision_value_per_100,waste_take_decision_value_per_100,zone_awareness_plus,z_zone_awareness_plus,o_zone_awareness_plus
2023,51996,오태양,,11,False,63.636364,45.006851,-0.474076,-4.309778,-38.495592,7,-9.804533,4,5.306044,4,-4.783961,7,-4.038815,2,-5.540677,2.782996,-13.86435,7,-5.848232,-13.320063,12.831347,2,2.305712,-4.814412,9.425835,0,,,,-68.298,-85.552,-1.949
2023,53716,윌리엄스,,1000,True,55.2,45.789628,33.63206,3.363206,37.370207,552,0.934595,448,6.355602,479,4.515428,521,2.303869,248,6.584568,10.968875,-5.259605,439,0.441091,-1.301404,3.30676,224,2.026854,-11.447473,11.592598,89,12.16381,-9.914343,13.477986,68.698,103.185,63.19
2023,61102,유강남,,1500,True,47.666667,43.248962,88.32432,5.888288,56.26062,715,2.861918,785,8.64479,716,5.769368,784,5.996893,410,7.565415,11.345723,-3.702105,583,2.081901,-0.332429,4.919641,334,5.867653,-13.930054,12.519683,173,14.780735,-18.002846,16.579833,113.781,128.634,101.117
2023,69766,유로결,,192,False,48.958333,44.665911,7.873396,4.100727,44.165971,94,1.512484,98,6.583328,95,4.756125,97,3.458843,55,6.630362,11.088302,-3.334446,81,-0.384822,-3.575239,3.225388,36,5.072482,-8.158381,9.48277,20,13.561548,-13.005318,20.203264,81.866,108.07,75.052
2023,52705,유상빈,,38,False,42.105263,41.261394,4.364234,11.484825,68.857534,16,2.492672,22,18.024573,15,7.89583,23,13.825474,9,8.094199,12.031566,-5.686585,13,3.76685,3.070783,4.578927,9,6.116926,-32.916843,17.269432,7,37.079171,,37.079171,213.704,171.792,181.516
2023,52667,윤도현,,3,False,66.666667,43.532146,-0.153793,-5.126424,-100.0,2,-6.697728,1,-1.983818,1,-1.983818,2,-6.697728,1,-1.983818,,-1.983818,0,,,,2,-6.697728,-6.697728,,0,,,,-82.878,-28.721,-29.255
2023,52591,윤동희,,1642,True,40.073082,46.953755,84.648617,5.155214,50.488589,658,3.29276,984,6.400636,885,3.76513,757,6.780346,473,5.256477,11.772502,-4.621538,716,2.089983,-0.109866,3.760139,317,7.503638,-15.259509,12.282161,136,15.466668,-35.033916,19.04545,100.693,87.957,109.163
2023,53505,윤수녕,,16,False,50.0,51.949295,0.708636,4.428973,78.873211,8,3.248946,8,5.608999,9,3.44201,7,5.697925,4,6.153664,8.65933,-1.363331,8,1.879929,0.002716,5.008617,0,,,,4,7.802368,,7.802368,87.726,81.399,98.047
2023,68463,윤정빈,,197,False,41.116751,44.841307,14.609709,7.416096,60.425757,81,3.439868,116,10.1926,100,3.787206,97,11.15722,47,9.048673,16.04144,-3.291504,87,1.739379,-2.139088,5.359281,45,15.325816,-12.658574,21.376495,18,10.816421,-11.503587,12.129363,141.059,88.405,154.114
2023,63905,윤형준,,911,True,55.762898,48.109944,35.206129,3.864559,41.48115,508,2.289503,403,5.849988,483,4.62334,428,3.00827,269,6.959848,10.905138,-4.701965,382,1.024085,-0.226278,2.91608,199,2.960457,-12.866273,11.739346,61,10.952171,-10.552641,13.298151,77.649,105.375,70.424
2023,65703,이도윤,,1205,True,49.958506,43.464146,48.876488,4.05614,43.770463,602,1.24696,603,6.860661,611,4.385977,594,3.716864,327,6.170987,10.409398,-3.450205,525,1.103955,-1.078423,3.881526,252,4.516909,-16.573532,13.624145,101,11.404938,-7.123695,12.369971,81.07,100.557,77.702
2023,76849,이명기,,152,False,45.394737,49.359572,5.780428,3.802913,46.571269,69,2.148382,83,5.178367,83,2.924704,69,4.859311,44,3.503611,9.057986,-5.318045,72,2.496807,0.988324,3.773215,25,3.204715,-15.393594,11.95686,11,14.908731,-5.793188,16.978923,76.549,70.9,89.435
2023,53795,이민준,,8,False,25.0,35.650228,0.841402,10.517521,85.469223,2,2.963861,6,13.035408,4,-0.26994,4,21.304981,1,2.654361,2.654361,,4,6.587617,3.273361,7.692369,1,9.532154,,9.532154,2,22.801593,,22.801593,196.433,6.063,258.33
2023,67363,이병규,,57,False,50.877193,45.929905,3.063023,5.373724,63.042665,29,3.891666,28,6.908713,31,4.935711,26,5.895971,18,7.945536,10.019114,-2.422353,22,0.99767,-1.547429,4.673924,11,5.959037,-17.311825,8.286123,6,12.630746,,12.630746,104.594,111.715,100.081
2023,69428,이병헌,,143,False,48.951049,51.533207,5.921176,4.140683,42.43952,70,2.653125,73,5.567108,77,4.002751,66,4.301603,38,7.393812,10.267926,-5.334406,65,-0.806034,-2.242272,0.869578,29,8.732666,-13.526865,12.294191,11,10.027059,,10.027059,82.579,92.78,83.707
2023,63960,이상민,,3,False,33.333333,52.610415,0.111895,3.729821,56.909521,1,4.177184,2,3.50614,2,-0.029504,1,11.248471,1,-4.236192,,-4.236192,1,4.177184,4.177184,,1,11.248471,,11.248471,0,,,,75.244,10.943,155.051
2023,52704,이상혁,,8,False,37.5,39.170959,0.293622,3.670281,67.452842,3,-0.385281,5,6.103618,5,-0.24078,3,10.188715,2,0.824401,3.788426,-2.139625,4,0.832516,-2.472135,4.137167,0,,,,2,12.191691,,12.191691,74.181,6.655,144.167
2023,60566,이상호,,205,False,57.560976,44.379673,7.322161,3.571786,40.561458,118,0.733163,87,7.421873,102,4.263219,103,2.887066,57,6.896651,9.220567,-2.821542,86,0.055442,-1.647129,3.233575,40,0.707593,-14.186502,8.72749,22,13.910694,-23.391331,17.640896,72.422,98.066,69.18
2023,64266,이성곤,,60,False,53.333333,47.667856,2.362714,3.937857,43.203015,32,3.151964,28,4.83602,33,4.631233,27,3.090397,13,-1.674743,1.629647,-9.109621,31,4.985484,7.082566,1.172608,12,7.887877,-12.39252,11.943957,4,2.209637,-30.670244,13.169598,78.958,105.535,71.268
2023,66409,이성규,,608,True,51.809211,46.128031,26.314259,4.328003,44.155525,315,1.274543,293,7.610733,298,4.3071,310,4.348097,169,6.867657,10.707733,-4.38466,236,0.846679,-1.010717,3.508307,135,3.008651,-15.864639,12.134197,68,12.717764,-18.193266,15.709154,85.924,98.957,84.184
2023,53302,이승원,,19,False,68.421053,37.442092,-0.268867,-1.415087,-18.680532,13,-4.444109,6,5.147793,6,2.000524,13,-2.991523,3,6.386752,10.551467,-1.942677,8,-1.605248,-3.746892,1.964158,6,-5.466355,-10.331938,18.861563,2,-0.203399,-8.482196,8.075398,-16.615,52.143,8.807
