season,batter_id,batter_name,team,batter_stance,pitches_seen,qualified_300,swing_aggression,za_raw,za_percentile,raw_dv,dv_per_100,swing_pct,z_swing_pct,o_swing_pct,z_minus_o_swing,heart_swing_pct,meatball_swing_pct,heart_only_swing_pct,heart_only_pitches,meatball_pitches,shadow_swing_pct,chase_swing_pct,waste_swing_pct,z_swing_residual,o_swing_residual,heart_swing_residual,meatball_swing_residual,waste_swing_residual,shadow_swing_residual,heart_only_swing_residual,cluster_id,cluster_distance,cluster_distance_outlier,sensitivity_cluster_id,sensitivity_cluster_distance,sensitivity_cluster_distance_outlier,sensitivity_residual_outlier,z_swing_residual_z,o_swing_residual_z,heart_swing_residual_z,meatball_swing_residual_z,waste_swing_residual_z,shadow_swing_residual_z,heart_only_swing_residual_z
2026,63963,권희동,NC,R,1001,True,-16.286941,-2.887287,9.119,74.449708,7.437533,31.968032,49.068323,16.023166,33.045157,53.359684,63.636364,48.863636,176,77,36.585366,13.733906,2.857143,-11.780446,-14.980109,-11.614068,-4.767855,-7.709843,-14.792996,-14.78463,2,3.386339,True,2,3.623881,True,True,-2.150702,-2.728047,-2.163061,-0.66409,-1.986681,-2.154939,-2.479078
2026,79402,김상수,KT,R,1674,True,-9.931133,-3.323656,6.604,117.673458,7.029478,35.902031,51.351351,22.519509,28.831842,54.265403,50.45045,55.62701,311,111,43.283582,19.733333,3.864734,-8.952976,-8.792319,-10.02112,-17.296725,-7.023998,-7.928575,-7.325945,2,2.759286,False,2,2.703345,False,True,-1.634504,-1.60118,-1.866383,-2.409174,-1.809951,-1.154979,-1.22841
2026,62947,나성범,KIA,L,1794,True,8.613201,5.161459,97.17,116.030955,6.467723,51.839465,79.624665,32.061069,47.563596,87.262873,92.66055,85.0,260,109,63.739377,27.092511,13.207547,8.733759,6.748998,9.613307,12.137263,8.575107,9.295395,8.526848,1,2.749431,False,1,2.555619,False,True,1.594482,1.229069,1.790429,1.690538,2.209643,1.354087,1.429777
2026,51551,나승엽,LOT,L,1276,True,-6.573784,0.608191,50.0,84.261385,6.603557,38.087774,56.972789,21.947674,35.025115,63.870968,61.445783,64.757709,227,83,44.061303,19.52862,0.0,-8.237165,-6.583976,-6.607745,-12.221608,-7.989681,-8.648423,-4.460258,2,2.148367,False,2,2.196311,False,True,-1.503822,-1.199016,-1.230659,-1.702286,-2.05879,-1.259841,-0.747893
2026,62931,노진혁,LOT,L,844,True,0.581871,3.069551,81.447,57.823897,6.851173,46.208531,69.423559,25.393258,44.030301,71.759259,62.264151,74.846626,163,53,55.489614,20.39801,7.777778,1.142652,-1.397985,-2.595802,-15.109332,1.602921,1.842401,1.706723,2,2.39942,False,2,2.604243,False,True,0.208609,-0.254589,-0.483455,-2.104503,0.413042,0.268388,0.286182
2026,54529,레이예스,LOT,L,1904,True,10.134297,-0.6197,36.792,104.715178,5.499747,53.308824,74.873096,38.082437,36.790659,76.359338,82.905983,73.856209,306,117,66.528354,38.815789,11.258278,11.195138,8.682555,7.814407,11.087438,2.363242,14.28631,6.594765,1,2.600839,False,1,2.447212,False,True,2.043845,1.581191,1.455393,1.544313,0.608963,2.081128,1.105806
2026,53404,류승민,SAM · DOO,L,350,True,1.836602,-2.213828,18.553,20.029583,5.722738,45.142857,61.290323,32.307692,28.982631,65.909091,63.636364,66.666667,66,22,47.727273,32.941176,20.0,-0.398698,1.780615,-0.125279,-5.781889,9.929573,-3.907597,1.94531,1,2.900584,True,1,2.829242,False,True,-0.072788,0.32427,-0.023333,-0.80533,2.558663,-0.569231,0.326188
2026,55252,박준순,DOO,R,1314,True,11.633674,-1.833589,25.472,64.541216,4.911812,55.251142,74.471831,40.616622,33.855209,78.289474,78.04878,78.378378,222,82,64.837398,45.9375,11.111111,12.3084,10.358409,11.656273,8.057998,1.321044,13.057702,13.051147,1,2.911435,True,1,2.854479,False,True,2.247088,1.886383,2.170921,1.122358,0.340408,1.902154,2.188409
2026,56909,신재인,NC,R,469,True,-7.45219,-0.413924,38.679,29.587784,6.308696,35.181237,52.261307,22.592593,29.668714,58.823529,68.75,54.285714,70,32,42.541436,19.008264,7.692308,-11.67339,-6.661787,-10.045475,-3.378384,-1.051004,-9.778985,-13.303613,2,1.931791,False,2,2.251946,False,True,-2.131157,-1.213186,-1.870919,-0.470558,-0.270824,-1.424533,-2.230742
2026,56613,아데를린,KIA,R,464,True,15.719126,-6.436747,2.201,19.111618,4.118883,57.758621,74.585635,46.996466,27.589169,73.809524,74.074074,73.684211,57,27,66.666667,52.941176,23.880597,18.165402,13.483397,14.425747,11.014308,10.696504,16.64023,15.69166,1,4.905017,True,1,4.794499,True,True,3.316374,2.455478,2.686722,1.534127,2.756287,2.424031,2.631168
