season,batter_id,batter_name,batter_stance,pitches_seen,plate_appearances,terminal_plate_appearances,walks,strikeouts,hit_by_pitch,bb_pct,k_pct,hbp_pct,qualified_300,swing_pct,take_pct,zone_pct,z_swing_pct,o_swing_pct,z_minus_o_swing,heart_swing_pct,shadow_in_swing_pct,shadow_out_swing_pct,chase_swing_pct,waste_swing_pct,heart_minus_chase_swing,contact_pct,whiff_pct,z_contact_pct,o_contact_pct,simple_judgment_pct,seager_a_zone_swings,seager_b_out_swings,seager_c_zone_takes,seager_d_out_takes,selection_tendency_pct,hittable_take_pct,simple_seager,observed_decision_run,observed_decision_run_per_100,heart_pitches,shadow_in_pitches,shadow_out_pitches,chase_pitches,waste_pitches,heart_vs_chase_residual,zone_vs_out_residual,decision_run_residual,heart_vs_chase_residual_z,zone_vs_out_residual_z,decision_run_residual_z,heart_vs_chase_residual_outlier,zone_vs_out_residual_outlier,decision_run_residual_outlier,cluster_id,cluster_distance,pure_hc_residual_z,pure_zo_residual_z,pure_z_attack_z,out_zone_take_pct,pure_o_restraint_z,pure_cluster_id,pure_cluster_distance,pure_hc_residual_z_adjusted,pure_zo_residual_z_adjusted,pure_z_attack_z_adjusted,pure_o_restraint_z_adjusted,pure_z_attack_z_final,pure_o_restraint_z_final,zone_awareness_raw,z_zone_awareness_raw,o_zone_awareness_raw,zone_awareness_plus,z_zone_awareness_plus,o_zone_awareness_plus,bb_vs_oza_residual,bb_vs_oza_residual_z,bb_vs_oza_residual_outlier,k_vs_zza_residual,k_vs_zza_residual_z,k_vs_zza_residual_outlier
2026,69100,구본혁,R,1162,318,318,22,36,2,6.9182,11.3208,0.6289,True,49.8279,50.1721,46.3855,70.3154,32.1027,38.2127,77.6173,62.5954,51.7699,27.3381,5.8824,50.2792,85.4922,14.5078,90.2375,76.5,69.0189,379,200,160,423,52.7431,27.4443,25.2988,-8.731928,-0.751457,277,262,226,278,119,7.226008,3.463349,-0.801953,1.093946,0.636504,-0.665297,False,False,False,2,1.653813,1.093946,0.636504,0.852561,67.8973,-0.591041,3,0.781098,0.669444,0.198644,0.52655,-0.678052,0.758682,-0.877535,-0.059426,0.758682,-0.877535,98.23,111.38,86.837,-0.360226,-0.162269,False,-9.828833,-1.606801,True
2026,62404,구자욱,L,1797,455,455,58,66,4,12.7473,14.5055,0.8791,True,43.7396,56.2604,43.7396,65.2672,27.003,38.2642,70.3704,59.8425,43.1755,24.4131,6.1947,45.9573,78.8804,21.1196,85.77,65.9341,69.616,513,273,273,738,58.9928,27.003,31.9898,57.021828,3.173168,405,381,359,426,226,0.694238,1.38807,3.246526,0.105101,0.255103,2.693306,False,False,True,2,0.854356,0.105101,0.255103,0.064491,72.997,0.288412,3,1.103045,-0.319401,-0.182757,-0.26152,0.201401,-0.376812,0.260653,-0.058079,-0.376812,0.260653,98.27,94.348,103.91,3.101405,1.397076,False,-4.961753,-0.811139,False
2026,52769,권광민,L,37,7,7,1,4,0,14.2857,57.1429,0.0,False,40.5405,59.4595,43.2432,68.75,19.0476,49.7024,63.6364,80.0,28.5714,18.1818,0.0,45.4546,60.0,40.0,72.7273,25.0,75.6757,11,4,5,17,60.7143,22.7273,37.987,0.874125,2.362499,11,5,7,11,3,,,,,,,,,,,,-0.68372,1.747507,0.608188,80.9524,1.660337,3,4.063839,-1.108222,1.309647,0.282177,1.573326,0.406576,2.036198,1.221387,0.406576,2.036198,136.379,106.099,130.543,,,,,,
2026,51003,권동진,L,956,229,229,25,64,2,10.917,27.9476,0.8734,True,44.5607,55.4393,46.1297,65.3061,26.7961,38.51,72.428,56.5657,43.1472,24.1206,4.2017,48.3074,71.3615,28.6385,77.0833,59.4203,69.5607,288,138,153,377,56.6917,28.8679,27.8238,-0.547676,-0.057288,243,198,197,199,119,2.823351,1.547584,-0.051278,0.427427,0.284419,-0.04254,False,False,False,3,1.394596,0.427427,0.284419,0.070564,73.2039,0.324093,3,1.223994,0.002925,-0.153441,-0.255447,0.237082,-0.368062,0.306831,-0.030615,-0.368062,0.306831,99.088,94.479,104.602,1.175147,0.529363,False,8.467407,1.384238,False
2026,55371,권혁빈,R,1022,279,279,12,70,6,4.3011,25.0896,2.1505,True,44.3249,55.6751,47.8474,56.4417,33.2083,23.2334,58.5551,53.9823,42.0792,33.1933,13.9785,25.3618,76.8212,23.1788,86.9565,61.0169,61.8395,276,177,213,356,56.3291,37.4341,18.895,-18.161342,-1.777039,263,226,202,238,93,-13.267723,-11.054871,-1.113469,-2.008602,-2.031694,-0.92373,True,True,False,1,2.463231,-2.008602,-2.031694,-1.31325,66.7917,-0.781704,1,1.135869,-1.324274,-1.274379,-0.7259,-0.675717,-1.045916,-0.874513,-0.960214,-1.045916,-0.874513,71.4,84.311,86.882,-2.983566,-1.343993,False,6.613777,1.081209,False
2026,63963,권희동,R,1035,233,233,34,34,1,14.5923,14.5923,0.4292,True,32.1739,67.8261,48.599,49.3042,15.9774,33.3268,53.4091,44.7699,26.3441,13.9241,2.7523,39.485,87.3874,12.6126,91.9355,74.1176,67.1498,248,85,255,447,64.3165,36.3248,27.9917,2.20777,0.213311,264,239,186,237,109,-13.702618,-8.147448,0.472148,-2.07444,-1.49736,0.391692,True,False,False,1,2.064648,-2.07444,-1.49736,-2.427478,84.0226,2.1898,2,2.955437,-1.841588,-1.285558,-2.066855,1.847355,-2.978037,2.390846,-0.293596,-2.978037,2.390846,91.255,55.329,135.863,0.515565,0.232244,False,-1.020751,-0.166871,False
2026,53312,김건희,R,1501,399,399,28,100,1,7.0175,25.0627,0.2506,True,49.1672,50.8328,45.1033,66.4697,34.9515,31.5182,72.7794,59.7561,53.0822,31.6092,12.5,41.1702,72.2222,27.7778,84.4444,53.125,65.6895,450,288,227,536,54.3611,29.751,24.6101,-7.644932,-0.509323,349,328,292,348,184,1.343872,-2.043087,-0.29878,0.203449,-0.375484,-0.247867,False,False,False,4,1.10889,0.203449,-0.375484,0.252212,65.0485,-1.082323,4,1.309187,0.046579,-0.523945,-0.240812,-0.387025,-0.346975,-0.500888,-0.423932,-0.346975,-0.500888,87.373,94.795,92.487,-1.044397,-0.470465,False,5.551293,0.907516,False
2026,66614,김규성,L,748,197,197,17,41,1,8.6294,20.8122,0.5076,True,41.3102,58.6898,48.5294,58.6777,24.9351,33.7426,66.0287,48.7013,37.0861,20.7547,9.3333,45.274,80.2589,19.7411,89.2019,60.4167,67.1123,213,96,150,289,57.5697,34.1686,23.4011,-5.798492,-0.775199,209,154,151,159,75,-2.753024,-3.995927,-0.68226,-0.41678,-0.734382,-0.566,False,False,False,1,1.365792,-0.416781,-0.734382,-0.96419,75.0649,0.645026,2,1.020343,-0.183929,-0.52258,-0.603567,0.302581,-0.869652,0.3916,-0.239026,-0.869652,0.3916,92.881,86.955,105.874,-1.288838,-0.580577,False,2.075209,0.339252,False
2026,66112,김기연,R,200,60,60,2,10,1,3.3333,16.6667,1.6667,False,53.0,47.0,43.0,66.2791,42.9825,23.2966,71.4286,59.4595,63.4146,35.7143,25.8065,35.7143,67.9245,32.0755,84.2105,48.9796,61.0,57,49,29,65,53.2787,30.8511,22.4276,-1.615812,-0.807906,49,37,41,42,31,,,,,,,,,,,,-0.152992,-1.270938,0.222458,57.0175,-2.467285,4,3.741081,-0.309862,-1.419399,-0.270566,-1.771987,-0.389846,-2.293305,-1.341576,-0.389846,-2.293305,60.041,94.152,65.6,,,,,,
2026,69238,김대한,R,420,119,119,8,26,3,6.7227,21.8487,2.521,True,49.0476,50.9524,46.1905,71.6495,29.646,42.0035,77.907,66.6667,48.8636,20.6186,9.7561,57.2884,73.301,26.699,80.5755,58.209,70.9524,139,67,55,159,53.3557,25.7009,27.6548,-4.092775,-0.97447,86,108,88,97,41,9.158551,6.229607,-1.225831,1.386514,1.144894,-1.016945,False,False,False,3,1.527433,1.386514,1.144894,1.060826,70.354,-0.167378,3,1.225187,0.962012,0.707034,0.734815,-0.254389,1.058761,-0.32923,0.364766,1.058761,-0.32923,110.865,115.881,95.062,-1.696266,-0.764109,False,0.254469,0.0416,False
