season,batter_id,batter_name,team,batter_stance,pitches_seen,qualified_300,swing_aggression,za_raw,za_percentile,dv_per_100,swing_pct,z_swing_pct,o_swing_pct,z_minus_o_swing,heart_swing_pct,meatball_swing_pct,shadow_swing_pct,chase_swing_pct,waste_swing_pct,z_swing_residual,o_swing_residual,heart_swing_residual,meatball_swing_residual,waste_swing_residual,shadow_swing_residual,cluster_id,cluster_distance,cluster_distance_outlier,z_swing_residual_z,o_swing_residual_z,heart_swing_residual_z,meatball_swing_residual_z,waste_swing_residual_z,shadow_swing_residual_z
2024,74163,이용규,KIW,,895,True,-1.94851,0.152846,47.419,7.170097,42.011173,63.51706,26.070039,37.447021,71.144279,81.034483,50.0,20.873786,3.448276,-2.745179,-3.053385,-0.212468,6.712459,-4.319844,-3.76688,1,1.602606,False,-0.522015,-0.566278,-0.038302,0.926696,-1.13058,-0.599234
2024,63260,이우성,KIA,,1797,True,-2.815918,3.843592,84.839,7.239187,43.795214,67.905824,24.141414,43.76441,76.674365,78.070175,50.810811,17.179487,5.128205,-2.877547,-2.065507,-0.323203,-2.18655,-0.236442,-4.189498,1,0.751234,False,-0.547185,-0.383067,-0.058265,-0.301866,-0.061881,-0.666464
2024,68700,이원석,HAN,,588,True,-4.12759,1.001692,58.387,6.638217,42.006803,65.543071,22.429907,43.113164,72.297297,62.790698,44.957983,22.857143,1.612903,-1.758997,-6.022741,-0.3568,-12.896266,-5.602435,-9.092578,1,2.033151,False,-0.334485,-1.116973,-0.064321,-1.780407,-1.466257,-1.446444
2024,75566,이원석,KIW,,401,True,-3.282872,7.585367,99.032,8.96796,44.638404,69.0,20.39801,48.60199,77.570093,82.926829,49.090909,15.555556,2.564103,-6.367013,-2.852083,-5.146288,-3.346651,-0.36384,-7.159883,1,1.010881,False,-1.210731,-0.528945,-0.927735,-0.462025,-0.095223,-1.138992
2024,67207,이유찬,DOO,,1006,True,-0.896803,-1.452306,25.484,6.267467,45.526839,63.675214,29.739777,33.935437,68.163265,66.101695,51.447661,25.888325,7.826087,-0.620727,-0.652071,-0.740217,-5.639253,-0.987333,-1.782786,1,0.950512,False,-0.118035,-0.120933,-0.133441,-0.778533,-0.258403,-0.283605
2024,50608,이인한,LOT,,15,False,-1.708202,5.835057,97.419,19.438017,33.333333,57.142857,12.5,44.642857,75.0,100.0,33.333333,0.0,0.0,,,,,,,,,,,,,,,
2024,54305,이재상,KIW,,313,True,8.478298,-5.50698,3.548,3.634511,56.86901,70.921986,45.348837,25.573149,75.324675,81.481481,62.406015,47.142857,12.121212,11.592985,11.752902,12.61823,16.260429,0.667323,10.53062,2,2.802209,False,2.204486,2.179684,2.274723,2.24485,0.17465,1.675208
2024,76812,이재원,HAN,,493,True,6.984054,-3.398198,9.355,4.720073,52.941176,68.534483,39.08046,29.454023,72.868217,77.5,62.755102,34.821429,8.928571,6.622242,7.150928,6.938775,8.888037,-1.152046,10.174963,2,1.532205,False,1.259265,1.326205,1.250872,1.227047,-0.301511,1.61863
2024,52415,이재현,SAM,,2004,True,-6.468419,-0.467399,39.677,7.409968,38.872255,59.413754,22.56043,36.853324,65.778689,65.306122,43.899371,20.169851,5.6,-6.08869,-7.053124,-4.630095,-8.018551,-2.572033,-9.660227,1,1.530163,False,-1.157806,-1.308067,-0.83468,-1.107009,-0.673147,-1.536746
2024,67644,이정훈,LOT,,475,True,-2.146876,3.407474,83.548,7.436756,45.894737,69.856459,27.067669,42.78879,71.962617,70.0,55.121951,24.324324,1.923077,-0.392671,0.516119,-4.368402,-9.55545,-3.725577,0.26739,1,1.451919,False,-0.074669,0.095719,-0.787504,-1.319188,-0.97505,0.042536
2024,51560,이주찬,LOT,,93,False,1.85712,4.962689,92.258,6.156598,51.612903,72.916667,28.888889,44.027778,76.666667,88.888889,55.172414,34.782609,9.090909,,,,,,,,,,,,,,,
2024,52154,이주헌,LG,,20,False,14.725465,1.026275,58.71,5.018422,55.0,87.5,33.333333,54.166667,83.333333,100.0,60.0,75.0,0.0,,,,,,,,,,,,,,,
2024,50167,이주형,KIW,,1982,True,1.918649,3.11881,81.613,6.36486,48.536831,71.336207,28.462998,42.873209,79.157895,81.632653,55.717762,24.886878,7.407407,1.440688,1.68334,3.268061,2.541374,1.570771,0.959671,2,1.438571,False,0.273957,0.312191,0.589142,0.350852,0.411099,0.152664
2024,79456,이지영,SSG,,1380,True,11.072729,-5.701571,2.258,4.625621,53.333333,66.022544,42.951252,23.071292,69.453376,76.315789,60.815603,45.141066,17.741935,6.931915,9.201547,7.044338,11.407638,6.161325,9.005239,2,1.495231,False,1.318151,1.706512,1.269902,1.574893,1.612529,1.43255
