season,batter_id,batter_name,team,batter_stance,pitches_seen,qualified_300,swing_aggression,za_raw,za_percentile,raw_dv,dv_per_100,swing_pct,z_swing_pct,o_swing_pct,z_minus_o_swing,heart_swing_pct,meatball_swing_pct,shadow_swing_pct,chase_swing_pct,waste_swing_pct,z_swing_residual,o_swing_residual,heart_swing_residual,meatball_swing_residual,waste_swing_residual,shadow_swing_residual,cluster_id,cluster_distance,cluster_distance_outlier,z_swing_residual_z,o_swing_residual_z,heart_swing_residual_z,meatball_swing_residual_z,waste_swing_residual_z,shadow_swing_residual_z
2023,52402,김상민,SAM,,45,False,9.284509,2.625021,74.566,1.931803,4.292895,53.333333,76.0,25.0,51.0,90.909091,100.0,52.173913,33.333333,0.0,,,,,,,,,,,,,,,
2023,79402,김상수,KT,,2151,True,-9.500657,-3.569643,5.491,117.142435,5.445952,36.866574,52.740341,19.845857,32.894484,55.365474,57.458564,41.792782,16.444444,2.01005,-6.282305,-9.62191,-7.236538,-7.975568,-6.181898,-8.019381,2,2.767158,False,-1.253854,-2.053875,-1.518035,-1.128108,-2.00519,-1.322948
2023,67610,김석환,KIA,,95,False,0.598054,1.730435,63.006,5.508656,5.798586,47.368421,68.085106,27.083333,41.001773,60.714286,75.0,64.102564,11.764706,9.090909,,,,,,,,,,,,,,,
2023,78603,김선빈,KIA,,1705,True,-2.73607,0.7029,47.11,88.035489,5.163372,41.818182,58.870968,24.133811,34.737157,66.736842,65.492958,44.459644,20.731707,1.754386,-5.212047,-1.892325,-2.850325,-7.604279,-3.844784,-5.513586,2,1.285938,False,-1.040246,-0.403932,-0.597923,-1.075591,-1.247112,-0.90957
2023,51604,김선우,KIA,,24,False,26.314489,-16.683776,0.0,0.024776,0.103235,62.5,70.0,57.142857,12.857143,50.0,,66.666667,70.0,0.0,,,,,,,,,,,,,,,
2023,62934,김성욱,NC,,789,True,-0.73828,0.299133,42.486,39.239098,4.97327,46.768061,63.510393,26.404494,37.105899,71.193416,75.862069,47.02381,23.684211,3.448276,-0.094404,0.053114,2.266365,3.489016,-2.395919,-2.934199,2,1.697395,False,-0.018842,0.011338,0.475424,0.493506,-0.777152,-0.484052
2023,67449,김성윤,SAM,,814,True,10.800146,2.822554,78.902,32.998381,4.053855,54.422604,76.368159,33.009709,43.35845,80.275229,86.0,63.157895,26.011561,8.641975,9.77464,8.691003,7.222652,9.101015,4.329109,13.104758,1,2.063432,False,1.950871,1.855165,1.515122,1.287298,1.40421,2.161878
2023,76802,김성현,SSG,,1275,True,0.9997,1.625963,62.139,68.48673,5.371508,46.431373,65.243902,26.494346,38.749556,68.956044,68.041237,54.095238,20.233463,3.875969,0.067617,1.211758,-2.140234,-6.711578,-1.163044,4.08721,2,1.657402,False,0.013495,0.25866,-0.448965,-0.949323,-0.37725,0.674263
2023,67900,김수윤,NC,,60,False,7.824047,-2.439015,10.983,2.88137,4.802283,55.0,75.0,37.5,37.5,78.947368,100.0,52.173913,38.461538,20.0,,,,,,,,,,,,,,,
2023,68346,김수환,KIW,,469,True,0.935525,-0.322727,34.393,18.356746,3.914018,46.268657,65.022422,29.268293,35.754129,70.909091,70.967742,50.471698,26.0,12.765957,2.154152,2.415991,2.998715,-0.289962,6.544389,0.537132,1,2.222038,False,0.429936,0.515713,0.629051,-0.041014,2.122769,0.08861
2023,51303,김시앙,KIW,,281,False,12.440102,4.408856,94.798,12.228911,4.351926,57.295374,82.638889,30.656934,51.981955,85.897436,100.0,66.071429,26.984127,10.714286,,,,,,,,,,,,,,,
2023,52430,김영웅,SAM,,403,True,2.779739,0.935883,50.578,19.784275,4.909249,46.650124,68.393782,26.666667,41.727115,70.588235,84.615385,56.571429,15.555556,8.333333,4.034823,0.828204,0.620165,11.100276,2.875548,6.589416,1,1.473697,False,0.80529,0.176787,0.130094,1.570085,0.932726,1.087049
2023,65898,김웅빈,KIW,,314,True,-3.258092,0.41873,44.798,13.136772,4.183685,43.630573,61.073826,27.878788,33.195038,70.512821,56.25,47.761194,21.052632,7.692308,-2.672621,1.623746,1.390242,-16.337559,1.92069,-2.201323,2,2.397984,False,-0.533415,0.346602,0.291636,-2.310875,0.623004,-0.36315
2023,63257,김인태,DOO,,470,True,-5.110759,1.125166,52.312,27.570031,5.865964,40.212766,60.267857,21.95122,38.316637,68.032787,65.853659,47.5,8.737864,4.444444,-4.315287,-3.734771,-2.244741,-8.000942,-0.898476,-2.489149,2,0.776422,False,-0.861266,-0.797217,-0.470887,-1.131698,-0.291434,-0.410632
2023,66715,김인환,HAN,,1426,True,6.281117,3.495583,88.728,63.429854,4.448096,51.262272,73.925501,29.532967,44.392534,77.492877,82.0,59.873618,23.364486,4.132231,6.534852,5.756401,3.339969,3.89389,0.227791,9.795109,1,0.944394,False,1.304258,1.22875,0.700637,0.550773,0.073887,1.615888
