season,batter_id,batter_name,batter_stance,team,pitches_seen,qualified_300,swing_pct,expected_swing_pct,decision_value,decision_value_per_100,decision_capture_pct,swing_pitches,swing_decision_value_per_100,take_pitches,take_decision_value_per_100,in_zone_pitches,in_zone_decision_value_per_100,out_zone_pitches,out_zone_decision_value_per_100,heart_pitches,heart_decision_value_per_100,heart_swing_decision_value_per_100,heart_take_decision_value_per_100,shadow_pitches,shadow_decision_value_per_100,shadow_swing_decision_value_per_100,shadow_take_decision_value_per_100,chase_pitches,chase_decision_value_per_100,chase_swing_decision_value_per_100,chase_take_decision_value_per_100,waste_pitches,waste_decision_value_per_100,waste_swing_decision_value_per_100,waste_take_decision_value_per_100,zone_awareness_plus,z_zone_awareness_plus,o_zone_awareness_plus
2026,63963,권희동,R,—,1001,True,31.968032,47.78298,77.343709,7.726644,58.635769,320,8.000617,681,7.597905,483,5.089923,518,10.185209,253,6.232544,16.289238,-5.272997,410,3.687865,7.166285,1.681085,233,11.210466,-21.122564,16.358013,105,19.366419,-12.623473,20.307298,118.363,84.498,128.221
2026,53312,김건희,R,—,1480,True,49.256757,45.554913,90.085544,6.086861,46.468723,729,3.767414,751,8.338362,674,7.250222,806,5.114026,348,9.465573,15.038282,-5.375429,608,3.040726,3.755102,2.103617,342,4.898128,-17.250592,15.120614,182,12.036339,-21.334213,16.863525,94.272,116.879,86.326
2026,66614,김규성,L,—,748,True,41.31016,46.497141,53.064953,7.094245,55.519258,309,6.431366,439,7.560828,363,5.9636,385,8.160282,209,6.902911,14.149712,-7.18242,305,4.501622,5.576968,3.692023,159,8.619444,-18.674667,15.767902,75,14.93734,-11.383861,17.646876,109.072,97.594,111.492
2026,66112,김기연,R,—,177,False,53.107345,43.72514,6.204799,3.505536,30.295735,94,-0.657329,83,8.220106,77,4.672639,100,2.606867,44,6.077881,9.72618,-4.867015,66,0.097759,-0.514577,0.982245,38,3.395003,-16.932034,15.252441,29,7.503134,-15.704487,16.344132,56.349,78.243,65.613
2026,69238,김대한,R,—,383,True,49.869452,45.526062,19.805011,5.171021,43.658248,191,3.148852,192,7.182658,177,5.215773,206,5.132569,81,7.239331,11.150768,-7.48608,179,1.291944,2.49665,-0.340751,87,7.896592,-15.727503,14.94856,36,13.218163,-13.705818,16.58366,80.817,86.384,86.479
2026,52605,김도영,R,—,1921,True,43.519001,43.124744,134.69873,7.011907,57.523629,836,2.380019,1085,10.580808,799,5.026275,1122,8.425918,427,6.095137,9.434842,-4.410343,729,2.996154,2.630117,3.438726,492,8.34421,-17.804454,15.353131,273,16.768138,-29.438482,18.343364,107.863,83.544,113.687
2026,69442,김도환,R,—,430,True,43.953488,44.86189,28.301654,6.58178,52.235759,189,3.318563,241,9.1409,192,5.252458,238,7.654174,102,7.911021,11.468469,-3.650687,172,2.112079,2.59861,1.647663,94,9.029412,-15.221874,16.00581,62,13.083854,-27.659354,17.449198,101.543,86.934,107.311
2026,53344,김동헌,R,—,261,False,46.360153,47.618842,8.149431,3.122387,27.027006,121,0.698589,140,5.217242,134,2.65915,127,3.611158,82,2.424663,9.941585,-6.717539,96,3.45241,3.180985,3.682077,62,1.499072,-13.785407,12.537863,21,9.130805,-24.064139,22.408783,50.72,48.062,73.91
2026,52504,김동혁,L,—,102,False,40.196078,44.418686,9.65565,9.466323,65.97034,41,7.905658,61,10.515295,42,8.431255,60,10.190871,25,11.714263,19.030089,-11.452518,37,6.358993,3.828664,8.756146,31,10.284377,-26.588914,15.747087,9,13.178886,,13.178886,143.921,134.582,128.268
2026,55502,김동현,L,—,181,False,43.646409,44.817071,11.737479,6.484795,57.293392,79,4.191236,102,8.261179,79,6.848414,102,6.203168,42,6.791746,12.201635,-6.732977,77,2.732326,1.045666,4.981206,43,9.792243,-16.190138,13.210977,19,13.52837,,13.52837,100.119,110.856,95.324
2026,56637,김민규,R,—,167,False,55.08982,49.375088,4.895505,2.93144,31.568724,92,2.62957,75,3.301733,82,2.932779,85,2.930148,48,4.620231,9.890487,-9.568918,67,1.06314,1.896159,-0.250467,40,2.198541,-9.885923,9.44922,12,9.050611,-33.700249,12.937053,47.915,52.163,68.284
2026,53554,김민석,L,—,1687,True,41.138115,44.609001,106.135334,6.291365,51.578284,694,4.339845,993,7.655268,772,5.770935,915,6.730461,403,7.147218,12.652664,-5.683657,693,3.454224,4.215831,2.865976,404,6.975468,-16.672718,14.346332,187,13.48309,-16.342779,15.896744,97.277,94.706,99.68
2026,54097,김민석,R,—,9,False,22.222222,17.348157,0.470945,5.232724,54.371755,2,-9.880314,7,9.550735,1,-1.725815,8,6.102541,1,-1.725815,-1.725815,,2,2.970301,,2.970301,4,1.847347,-18.034813,8.474734,2,17.745169,,17.745169,81.724,-17.666,94.492
2026,77564,김민성,R,—,136,False,45.588235,46.674488,10.929559,8.03644,61.187397,62,6.677853,74,9.174716,72,5.36661,64,11.039999,46,6.897538,13.076194,-8.786744,44,5.227423,3.544309,7.070833,32,8.631363,-18.112972,13.584018,14,19.247064,-8.441785,21.376976,122.914,88.645,135.283
2026,64793,김민수,R,—,11,False,54.545455,56.151549,0.173927,1.581159,20.398326,6,-0.377537,5,3.931594,5,3.919931,6,-0.367817,4,4.930316,8.545141,-5.914159,4,-4.014361,-12.204141,4.175418,2,0.632445,-3.49236,4.757249,1,12.464043,,12.464043,28.077,66.96,41.038
2026,62864,김민식,L,—,100,False,47.0,49.014234,3.893011,3.893011,41.002236,47,4.640058,53,3.230535,52,4.202372,48,3.55787,22,5.213115,8.189383,-2.723599,54,2.23397,5.913035,-1.182304,16,3.274796,-13.337263,10.825733,8,12.697674,,12.697674,62.042,71.194,73.47
2026,53893,김민준,R,—,35,False,57.142857,39.109504,0.88641,2.532599,27.32176,20,-1.089921,15,7.362627,13,3.482932,22,1.971039,6,1.826516,6.520215,-2.867183,16,2.726028,2.247646,4.161175,5,4.811071,-13.00803,16.690472,8,1.251259,-14.10492,10.464967,42.055,60.41,60.36
2026,64004,김민혁,L,—,1344,True,41.294643,43.772876,97.670914,7.267181,57.057015,555,6.712854,789,7.657107,617,7.278285,727,7.257757,336,9.05534,16.166593,-4.978372,548,3.349408,4.2517,2.510658,310,9.429628,-14.204315,14.754271,150,13.10558,-17.483542,15.526302,111.613,117.3,104.036
2026,79402,김상수,R,—,1674,True,35.902031,45.738548,121.903022,7.28214,56.224176,601,6.897843,1073,7.497389,777,5.461908,897,8.858862,422,6.070166,15.625568,-5.26759,670,4.513854,7.121555,2.523766,375,7.736911,-17.72795,13.997376,207,17.889219,-23.254263,19.543229,111.833,90.073,117.264
