season,batter_id,batter_name,team,pitches_seen,qualified_300,actual_swing_pct,expected_swing_x_pct,expected_swing_o_pct,rank_x,rank_o,rank_change_o_minus_x
2026,53103,강민균,LG,27,False,55.555556,51.815018,52.612854,,,
2026,69064,강민성,KT,8,False,75.0,42.517361,45.174264,,,
2026,74540,강민호,SAM,1099,True,41.856233,46.838571,46.967749,14,11,-3
2026,68050,강백호,HAN,1900,True,41.210526,42.878614,42.852307,138,138,0
2026,63123,강승호,DOO,818,True,49.633252,46.031027,46.473697,33,21,-12
2026,50066,강현우,KT,115,False,35.652174,44.245178,43.751271,,,
2026,51868,고명준,SSG,585,True,51.282051,45.036508,45.152099,71,70,-1
2026,69517,고승민,LOT,1494,True,40.42838,45.071794,45.405075,68,63,-5
2026,61353,고종욱,KIA,124,False,48.387097,44.509205,44.277155,,,
2026,56949,고준휘,NC,195,False,48.717949,45.982854,46.916515,,,
2026,69100,구본혁,LG,1079,True,50.324374,47.132805,46.916542,10,13,3
2026,62404,구자욱,SAM,1681,True,43.961927,43.053854,43.324994,135,127,-8
2026,52769,권광민,HAN,37,False,40.540541,52.787485,53.342051,,,
2026,51003,권동진,KT,894,True,44.742729,45.509052,45.739119,60,45,-15
2026,55371,권혁빈,KIW,938,True,43.603412,46.069169,45.99576,31,37,6
2026,63963,권희동,NC,990,True,32.020202,47.925659,48.227912,4,2,-2
2026,53312,김건희,KIW,1468,True,49.114441,45.76351,45.645509,48,52,4
2026,66614,김규성,KIA,748,True,41.31016,46.440282,46.395432,18,23,5
2026,66112,김기연,DOO,168,False,53.571429,43.782594,43.69719,,,
2026,69238,김대한,DOO,383,True,49.869452,45.946556,45.793608,41,42,1
2026,52605,김도영,KIA,1908,True,43.553459,43.432571,43.099162,124,133,9
2026,69442,김도환,SAM,430,True,43.953488,44.441368,44.829467,87,81,-6
2026,53344,김동헌,KIW,261,False,46.360153,47.053521,47.544671,,,
2026,52504,김동혁,LOT,102,False,40.196078,43.325226,44.278019,,,
2026,55502,김동현,LOT,181,False,43.646409,45.103563,45.017509,,,
2026,56637,김민규,KIA,167,False,55.08982,48.764359,49.390631,,,
2026,53554,김민석,DOO,1658,True,41.073583,44.930269,44.608258,76,88,12
2026,54097,김민석,KT,5,False,20.0,9.36017,7.82017,,,
2026,77564,김민성,LOT,136,False,45.588235,47.293827,47.127561,,,
2026,64793,김민수,LG,11,False,54.545455,55.030204,56.015376,,,
2026,62864,김민식,SSG,100,False,47.0,51.029855,49.01581,,,
2026,53893,김민준,SSG,35,False,57.142857,40.914085,38.606857,,,
2026,64004,김민혁,KT,1306,True,41.730475,44.005987,44.183599,102,95,-7
2026,79402,김상수,KT,1648,True,36.043689,45.818206,46.066684,45,33,-12
2026,55425,김상준,SAM,204,False,44.607843,42.416036,42.09753,,,
2026,78603,김선빈,KIA,1825,True,37.917808,45.90242,45.633819,42,53,11
2026,62934,김성욱,SSG,587,True,40.374787,45.275455,45.27897,61,66,5
2026,67449,김성윤,SAM,1419,True,43.551797,39.801903,39.732066,159,159,0
2026,69105,김성진,LG,29,False,51.724138,45.094468,43.182354,,,
2026,52514,김세민,LOT,176,False,47.727273,43.735355,42.923319,,,
2026,52430,김영웅,SAM,604,True,51.821192,45.854244,45.65769,43,48,5
2026,65898,김웅빈,KIW,1027,True,43.037975,43.646284,43.885528,116,103,-13
2026,63257,김인태,DOO,235,False,40.425532,46.902537,46.392419,,,
2026,53400,김재상,SAM,51,False,54.901961,43.776083,42.841628,,,
2026,65132,김재성,SAM,4,False,50.0,40.181171,38.1826,,,
2026,52424,김재혁,SAM,31,False,58.064516,52.328551,50.699702,,,
2026,62332,김재현,KIW,89,False,39.325843,45.507702,46.227661,,,
2026,78224,김재환,SSG,1825,True,42.575342,44.297754,44.323577,91,91,0
2026,53865,김정민,SSG,33,False,54.545455,45.580093,45.281912,,,
2026,51903,김정호,NC,30,False,56.666667,43.67404,45.545026,,,
2026,66162,김주성,LG,6,False,50.0,38.986408,40.431075,,,
2026,51907,김주원,NC,1943,True,44.776119,44.981127,45.410766,74,62,-12
2026,56326,김지석,KIW,221,False,44.343891,48.992243,49.395102,,,
2026,50458,김지찬,SAM,1735,True,37.291066,41.045794,40.81651,157,157,0
2026,69825,김창평,SSG,26,False,61.538462,58.280648,58.990227,,,
2026,78122,김태군,KIA,639,True,39.43662,44.848424,45.108813,77,72,-5
2026,66704,김태연,HAN,1318,True,45.675266,44.646758,44.303443,81,93,12
2026,64984,김태진,KIW,76,False,39.473684,42.92562,42.443017,,,
2026,65040,김태훈,SAM,67,False,61.19403,43.760174,43.318006,,,
2026,50902,김한별,NC,513,True,41.325536,45.744953,45.778529,50,43,-7
2026,56595,김한홀,LOT,3,False,66.666667,69.497213,71.181547,,,
2026,61404,김헌곤,SAM,285,False,48.77193,46.166243,46.984271,,,
2026,76290,김현수,KT,1937,True,42.694889,43.662408,43.457568,114,120,6
2026,54166,김현종,LG,49,False,46.938776,40.152577,41.778966,,,
2026,51417,김현준,SAM,185,False,36.216216,43.739058,43.806138,,,
2026,68912,김형준,NC,1284,True,46.028037,45.750079,45.656151,49,49,0
2026,65653,김호령,KIA,1801,True,48.58412,47.813916,47.770068,6,6,0
2026,51344,김휘집,NC,874,True,44.16476,45.569451,45.574266,59,55,-4
2026,62947,나성범,KIA,1785,True,51.876751,43.429865,43.111795,125,132,7
2026,51551,나승엽,LOT,1247,True,38.251804,44.639025,44.632284,82,86,4
2026,69737,노시환,HAN,1948,True,45.841889,45.573014,45.500084,58,57,-1
2026,62931,노진혁,LOT,826,True,46.368039,45.95516,45.646448,39,51,12
2026,54944,데이비슨,NC · KIW,1670,True,53.832335,46.21743,46.200257,23,31,8
2026,56632,데일,KIA,490,True,51.632653,45.264155,45.303053,62,65,3
2026,66965,도태훈,NC,343,True,37.026239,43.243308,43.043122,132,135,3
2026,54400,디아즈,SAM,1986,True,43.202417,41.133872,40.964288,155,155,0
2026,54529,레이예스,LOT,1870,True,53.15508,42.88315,42.94695,137,136,-1
2026,53404,류승민,SAM · DOO,350,True,45.142857,43.892525,43.454595,106,121,15
2026,62234,류지혁,SAM,1762,True,42.111237,44.167747,43.948842,97,101,4
2026,53036,류현인,KT,663,True,49.321267,45.69897,45.921842,53,40,-13
2026,54219,류현준,DOO,4,False,75.0,44.113157,41.114449,,,
2026,50868,류효승,SSG,99,False,48.484848,46.302974,46.958759,,,
2026,56813,마드리스,SSG,297,False,50.505051,43.097679,42.685309,,,
2026,69102,문보경,LG,1510,True,40.463576,44.425743,44.318836,88,92,4
2026,64007,문상철,KT,10,False,40.0,40.60388,36.497681,,,
2026,68119,문성주,LG,886,True,44.469526,43.496106,43.285233,120,130,10
2026,52121,문정빈,LG,979,True,43.615935,46.395667,46.82872,20,17,-3
2026,53764,문현빈,HAN,1907,True,43.628736,42.234826,41.796356,149,151,2
2026,79215,박건우,NC,1591,True,47.265871,44.174881,43.89904,95,102,7
2026,55509,박건우,LOT,73,False,61.643836,46.856899,46.514926,,,
2026,64468,박계범,SAM,156,False,50.0,46.808891,47.217224,,,
2026,79365,박동원,LG,1380,True,46.521739,43.552537,43.686189,118,110,-8
2026,50657,박민,KIA,701,True,44.793153,46.167903,46.320375,26,24,-2
2026,62907,박민우,NC,1717,True,41.351194,43.68955,43.746139,112,108,-4
2026,52634,박상준,KIA,552,True,46.557971,44.158115,43.502914,98,115,17
2026,53305,박성빈,KIW,92,False,52.173913,44.076752,45.705335,,,
2026,51298,박성재,DOO,20,False,65.0,48.531007,51.154137,,,
2026,67893,박성한,SSG,2232,True,35.663082,44.210855,44.265566,92,94,2
2026,62244,박세혁,SAM,197,False,49.746193,47.884926,48.275052,,,
2026,52305,박수종,KIW,209,False,40.669856,43.87408,43.600309,,,
2026,69418,박승규,SAM,1203,True,43.059019,43.361405,43.498645,127,116,-11
2026,62802,박승욱,LOT,540,True,48.148148,46.775894,46.963535,16,12,-4
2026,50996,박시원,NC,462,True,47.835498,44.542461,44.670291,84,84,0
2026,55121,박시원,LG,4,False,50.0,62.618791,53.528368,,,
2026,55563,박재엽,LOT,19,False,47.368421,41.542818,41.087486,,,
2026,55636,박재현,KIA,1612,True,52.915633,42.753272,42.651904,144,142,-2
2026,67609,박정우,KIA,322,True,37.57764,40.284586,40.614923,158,158,0
2026,50709,박정현,HAN,285,False,45.614035,44.796075,44.126414,,,
2026,50357,박주홍,KIW,736,True,39.402174,45.628439,45.137233,54,71,17
2026,55252,박준순,DOO,1301,True,55.111453,43.359117,43.63626,128,112,-16
2026,50204,박지훈,DOO,1129,True,44.464128,48.181839,48.181826,3,3,0
2026,52348,박찬혁,KIW,1054,True,45.351044,45.60636,45.485125,57,58,1
2026,55530,박찬형,LOT,110,False,56.363636,41.185158,41.129908,,,
2026,64646,박찬호,DOO,1988,True,42.50503,45.813086,45.740717,46,44,-2
2026,54303,박채울,KIW,82,False,62.195122,49.359452,48.785473,,,
2026,56304,박한결,KIW,167,False,49.101796,45.338591,46.193916,,,
2026,62415,박해민,LG,1880,True,41.06383,44.744485,44.878138,79,79,0
2026,55798,배승수,HAN,2,False,50.0,34.814722,36.512703,,,
2026,64166,배정대,KT,422,True,48.341232,47.193843,47.476502,8,7,-1
2026,69727,변우혁,KIA,261,False,50.574713,46.009903,46.538908,,,
2026,56322,브룩스,KIW,619,True,46.688207,43.004622,42.473863,136,146,10
2026,56950,블레인,NC,541,True,46.210721,45.123547,44.97891,67,77,10
2026,78168,서건창,KIW,1514,True,35.799207,41.937414,42.205746,150,148,-2
2026,69995,서호철,NC,582,True,52.233677,46.127139,46.249889,29,28,-1
2026,52804,석정우,SSG,14,False,35.714286,54.715891,54.730035,,,
2026,56236,세베리노,DOO,358,True,45.251397,41.391899,41.601864,153,153,0
2026,53057,손민석,KT,3,False,66.666667,47.784903,48.75212,,,
2026,51528,손성빈,LOT,1194,True,49.748744,47.303805,47.281844,7,8,1
2026,77532,손아섭,HAN · DOO,650,True,41.846154,43.966225,44.048619,104,98,-6
2026,54156,손용준,LG,36,False,38.888889,37.783457,39.931452,,,
2026,50150,손호영,LOT,648,True,50.308642,44.028814,43.564514,101,113,12
2026,54394,송지후,KIW,133,False,39.097744,47.634492,47.574241,,,
2026,68110,송찬의,LG,1248,True,46.794872,45.961413,46.108065,38,32,-6
2026,65207,신민재,LG,1464,True,38.934426,43.351323,43.336715,129,126,-3
2026,66662,신범수,SSG,69,False,56.521739,44.000195,44.179592,,,
