season,batter_id,batter_name,batter_stance,pitches_seen,plate_appearances,terminal_plate_appearances,walks,strikeouts,hit_by_pitch,bb_pct,k_pct,hbp_pct,qualified_300,swing_pct,take_pct,zone_pct,z_swing_pct,o_swing_pct,z_minus_o_swing,heart_swing_pct,shadow_in_swing_pct,shadow_out_swing_pct,chase_swing_pct,waste_swing_pct,heart_minus_chase_swing,contact_pct,whiff_pct,z_contact_pct,o_contact_pct,simple_judgment_pct,seager_a_zone_swings,seager_b_out_swings,seager_c_zone_takes,seager_d_out_takes,selection_tendency_pct,hittable_take_pct,simple_seager,observed_decision_run,observed_decision_run_per_100,heart_pitches,shadow_in_pitches,shadow_out_pitches,chase_pitches,waste_pitches,heart_vs_chase_residual,zone_vs_out_residual,decision_run_residual,heart_vs_chase_residual_z,zone_vs_out_residual_z,decision_run_residual_z,heart_vs_chase_residual_outlier,zone_vs_out_residual_outlier,decision_run_residual_outlier,cluster_id,cluster_distance,pure_hc_residual_z,pure_zo_residual_z,pure_z_attack_z,out_zone_take_pct,pure_o_restraint_z,pure_cluster_id,pure_cluster_distance,pure_hc_residual_z_adjusted,pure_zo_residual_z_adjusted,pure_z_attack_z_adjusted,pure_o_restraint_z_adjusted,pure_z_attack_z_final,pure_o_restraint_z_final,zone_awareness_raw,z_zone_awareness_raw,o_zone_awareness_raw,zone_awareness_plus,z_zone_awareness_plus,o_zone_awareness_plus,bb_vs_oza_residual,bb_vs_oza_residual_z,bb_vs_oza_residual_outlier,k_vs_zza_residual,k_vs_zza_residual_z,k_vs_zza_residual_outlier
2023,69064,강민성,R,105,27,27,4,10,0,14.8148,37.037,0.0,False,43.8095,56.1905,50.4762,58.4906,28.8462,29.6444,56.25,61.9048,66.6667,21.4286,8.3333,34.8214,60.8696,39.1304,74.1935,33.3333,64.7619,31,15,22,37,54.4118,37.2881,17.1237,-1.544769,-1.471208,32,21,12,28,12,,,,,,,,,,,,-2.226208,-1.407264,-0.952352,71.1538,-0.546185,2,3.607289,-1.968569,-1.092595,-0.897337,-0.105021,-1.33353,-0.138259,-0.735895,-1.33353,-0.138259,78.313,79.997,97.926,,,,,,
2023,74540,강민호,R,1675,458,458,40,59,6,8.7336,12.8821,1.31,True,43.7015,56.2985,45.9701,65.3247,25.3039,40.0208,71.6049,58.3562,37.7644,24.4032,6.0914,47.2017,78.5519,21.4481,87.4751,58.952,70.3881,503,229,267,676,57.3367,28.3139,29.0228,7.425669,0.443324,405,365,331,377,197,1.143718,1.722502,0.636846,0.190641,0.340806,0.588446,False,False,False,4,1.13226,0.190641,0.340806,0.222506,74.6961,0.148699,3,0.771459,0.027329,0.148159,0.228145,-0.200821,0.339046,-0.264379,0.037334,0.339046,-0.264379,101.1,105.086,96.034,0.267197,0.119967,False,-6.558978,-0.946537,False
2023,68050,강백호,L,1134,270,270,29,53,0,10.7407,19.6296,0.0,True,42.2399,57.7601,50.0,59.4356,25.0441,34.3915,64.8649,53.5055,39.4231,20.7317,7.9646,44.1332,75.3653,24.6347,83.6795,55.6338,67.1958,337,142,230,425,55.7743,35.1145,20.6598,5.796994,0.511199,296,271,208,246,113,-4.540436,-4.019841,0.82499,-0.756824,-0.795347,0.762291,False,False,False,4,1.401717,-0.756824,-0.795347,-0.789896,74.9559,0.199663,2,1.281497,-0.499185,-0.480678,-0.734881,0.640827,-1.092104,0.843643,-0.12423,-1.092104,0.843643,96.339,83.618,112.655,0.195787,0.087905,False,1.502556,0.216836,False
2023,63123,강승호,R,1701,433,433,27,103,6,6.2356,23.7875,1.3857,True,46.3845,53.6155,49.853,63.2075,29.66,33.5475,68.2609,57.2165,42.9012,27.9452,7.3171,40.3157,73.5108,26.4892,85.2612,48.6166,66.7842,536,253,312,600,52.8169,34.2105,18.6064,5.902139,0.346981,460,388,324,365,164,-3.218887,-2.855394,0.810398,-0.536541,-0.564955,0.748808,False,False,False,4,1.494569,-0.536541,-0.564955,-0.141464,70.34,-0.705826,2,0.673498,-0.278902,-0.250286,-0.086449,-0.264662,-0.128471,-0.348425,-0.238448,-0.128471,-0.348425,92.973,98.073,94.774,-2.073236,-0.930845,False,4.775681,0.689186,False
2023,53460,강준서,R,57,15,15,1,2,0,6.6667,13.3333,0.0,False,35.0877,64.9123,54.386,54.8387,11.5385,43.3002,60.0,50.0,16.6667,16.6667,0.0,43.3333,80.0,20.0,88.2353,33.3333,70.1754,17,3,14,23,57.5,37.8378,19.6622,-1.166859,-2.047122,15,16,6,12,8,,,,,,,,,,,,-1.372875,-0.195408,-1.580154,88.4615,2.849022,1,3.343597,-0.727498,0.456923,-0.844197,2.507299,-1.254558,3.300836,1.023139,-1.254558,3.300836,130.152,81.182,149.513,,,,,,
2023,62925,강진성,R,532,145,145,6,20,3,4.1379,13.7931,2.069,True,47.9323,52.0677,50.5639,65.7993,29.6578,36.1415,69.9301,61.1111,47.1154,23.5294,2.5,46.4007,83.1373,16.8627,87.5706,73.0769,68.0451,177,78,92,185,51.105,33.213,17.892,-2.30016,-0.432361,143,126,104,119,40,-0.279796,-0.262351,-0.207444,-0.046638,-0.051908,-0.191678,False,False,False,2,1.900376,-0.046638,-0.051908,0.304095,70.3422,-0.705394,3,1.885634,-0.20995,-0.244555,0.309734,-1.054914,0.460295,-1.388785,-0.464245,0.460295,-1.388785,86.319,106.904,79.168,-2.219356,-0.99645,False,-5.759256,-0.831128,False
2023,64610,강한울,L,828,218,218,19,44,0,8.7156,20.1835,0.0,True,43.9614,56.0386,51.087,59.1017,28.1481,30.9536,62.605,54.5946,38.0,26.2032,11.7647,36.4018,77.1978,22.8022,82.4,65.7895,65.3382,250,114,173,291,53.7893,37.2845,16.5048,-11.497697,-1.388611,238,185,150,187,68,-8.373825,-6.107144,-0.771789,-1.395794,-1.208331,-0.713133,False,False,False,2,2.311796,-1.395794,-1.208331,-0.847297,71.8519,-0.40924,2,1.900925,-1.138155,-0.893662,-0.792282,0.031924,-1.177408,0.042027,-0.56769,-1.177408,0.042027,83.27,82.339,100.63,-0.325548,-0.146165,False,2.134742,0.308068,False
2023,50066,강현우,R,442,111,111,6,17,1,5.4054,15.3153,0.9009,True,47.0588,52.9412,56.3348,61.0442,29.0155,32.0287,64.2336,57.1429,44.3038,21.3483,8.0,42.8853,86.5385,13.4615,91.4474,73.2143,65.3846,152,56,97,137,47.4048,41.453,5.9518,-6.020861,-1.362186,137,112,79,89,25,-5.349057,-4.654625,-0.999484,-0.89161,-0.920943,-0.923523,False,False,False,2,1.151957,-0.89161,-0.920943,-0.51336,70.9845,-0.579396,2,0.620768,-0.633971,-0.606274,-0.458345,-0.138232,-0.681145,-0.181981,-0.431563,-0.681145,-0.181981,87.282,89.783,97.27,-3.215569,-1.443731,False,-3.189097,-0.460224,False
2023,51868,고명준,R,17,4,4,0,3,0,0.0,75.0,0.0,False,52.9412,47.0588,64.7059,54.5455,50.0,4.5455,62.5,33.3333,,100.0,40.0,-37.5,33.3333,66.6667,50.0,0.0,52.9412,6,3,5,3,33.3333,62.5,-29.1667,-1.147444,-6.749671,8,3,0,1,5,,,,,,,,,,,,-4.950762,-4.55209,-1.630558,50.0,-4.69587,,,-4.950762,-4.55209,-1.630558,-4.69587,-2.423167,-6.18207,-4.302619,-2.423167,-6.18207,-26.797,63.652,7.269,,,,,,
2023,69517,고승민,L,1151,288,288,36,59,1,12.5,20.4861,0.3472,True,42.1373,57.8627,48.7402,62.2103,23.0508,39.1595,69.1083,53.4413,39.749,16.1702,2.5862,52.9381,78.1443,21.8557,84.8138,61.0294,69.7654,349,136,212,454,56.538,31.8318,24.7062,-4.178241,-0.36301,314,247,239,235,116,1.014756,-0.119156,-0.394325,0.169145,-0.023576,-0.364356,False,False,False,4,1.133347,0.169145,-0.023576,-0.312894,76.9492,0.590684,3,0.843711,0.005833,-0.216223,-0.307255,0.241164,-0.456611,0.31749,-0.06956,-0.456611,0.31749,97.95,93.151,104.762,2.942132,1.320963,False,1.775551,0.256233,False
