season,batter_id,batter_name,team,batter_stance,pitches_seen,qualified_300,swing_aggression,za_raw,za_percentile,raw_dv,dv_per_100,swing_pct,z_swing_pct,o_swing_pct,z_minus_o_swing,heart_swing_pct,meatball_swing_pct,heart_only_swing_pct,heart_only_pitches,meatball_pitches,shadow_swing_pct,chase_swing_pct,waste_swing_pct,z_swing_residual,o_swing_residual,heart_swing_residual,meatball_swing_residual,waste_swing_residual,shadow_swing_residual,heart_only_swing_residual,cluster_id,cluster_distance,cluster_distance_outlier,sensitivity_cluster_id,sensitivity_cluster_distance,sensitivity_cluster_distance_outlier,sensitivity_residual_outlier,z_swing_residual_z,o_swing_residual_z,heart_swing_residual_z,meatball_swing_residual_z,waste_swing_residual_z,shadow_swing_residual_z,heart_only_swing_residual_z
2023,61353,고종욱,KIA,L,1032,True,8.449481,2.11516,69.653,43.659162,4.230539,53.488372,76.305221,32.209738,44.095483,79.928315,85.227273,77.486911,191,88,60.722892,29.464286,9.649123,10.520212,7.343233,7.989724,9.572002,4.929837,10.686368,6.988694,1,2.001833,False,1,1.986461,False,True,2.100724,1.568392,1.678843,1.350757,1.603019,1.762994,1.365079
2023,52769,권광민,HAN,L,319,True,1.048086,-4.345113,3.179,10.390357,3.257165,46.394984,58.974359,34.355828,24.618531,55.555556,52.173913,56.896552,58,23,58.865248,24.285714,11.111111,0.901073,4.235322,-5.729025,-11.888292,2.40614,9.114269,-3.334483,2,3.141886,True,1,2.998456,False,False,0.17993,0.904594,-1.203813,-1.677621,0.782397,1.503636,-0.651314
2023,66838,김동엽,SAM,R,686,True,4.73445,-1.893586,17.63,34.474162,5.025388,48.979592,66.56535,32.773109,33.792241,69.78022,83.72093,65.467626,139,43,54.137931,30.872483,9.230769,5.56564,4.646377,4.452684,15.25942,2.038275,4.278594,1.340428,1,1.345789,False,1,1.585444,False,True,1.111372,0.992389,0.935621,2.153339,0.662779,0.705865,0.261821
2023,79402,김상수,KT,R,2151,True,-9.873319,-3.267629,6.069,122.398295,5.690297,36.866574,52.740341,19.845857,32.894484,55.365474,57.458564,54.545455,462,181,41.792782,16.444444,2.01005,-6.619154,-9.398355,-7.696048,-8.537203,-6.030164,-8.005822,-7.398004,2,2.787885,False,2,2.718731,False,True,-1.321743,-2.007332,-1.617134,-1.204731,-1.960808,-1.320768,-1.445028
2023,67449,김성윤,SAM,L,814,True,11.409697,2.725277,78.902,33.888228,4.163173,54.422604,76.368159,33.009709,43.35845,80.275229,86.0,78.571429,168,50,63.157895,26.011561,8.641975,9.854845,8.6394,7.330459,9.249864,4.299102,13.094404,7.103565,1,2.074597,False,1,2.100339,False,True,1.96786,1.845232,1.540315,1.305298,1.397925,2.160262,1.387516
2023,68346,김수환,KIW,R,469,True,0.847978,-0.303111,34.971,18.641389,3.97471,46.268657,65.022422,29.268293,35.754129,70.909091,70.967742,70.886076,79,31,50.471698,26.0,12.765957,2.124139,2.43506,2.958611,-0.347902,6.554711,0.542062,4.231168,1,2.245919,False,1,2.148532,False,True,0.424158,0.520088,0.621679,-0.049094,2.131374,0.089427,0.82646
2023,65898,김웅빈,KIW,L,314,True,-2.920701,-0.006262,37.283,13.098951,4.17164,43.630573,61.073826,27.878788,33.195038,70.512821,56.25,74.193548,62,16,47.761194,21.052632,7.692308,-2.17881,1.286976,2.07279,-15.598344,1.664204,-2.181563,7.066864,2,2.315583,False,2,2.859917,False,True,-0.435075,0.274877,0.435546,-2.201166,0.541144,-0.359906,1.380347
2023,65132,김재성,SAM,L,501,True,-7.537862,0.916801,51.734,26.900561,5.369373,38.323353,54.918033,22.568093,32.34994,62.987013,59.090909,64.545455,110,44,37.980769,13.888889,3.225806,-9.436477,-3.273011,-6.975295,-14.413887,-2.232811,-12.002787,-4.048234,2,2.68383,False,2,2.542,False,True,-1.884319,-0.699061,-1.465686,-2.034021,-0.726036,-1.980172,-0.790728
2023,63920,김준완,KIW,L,1038,True,-17.063687,-5.609306,0.289,60.557257,5.834033,32.273603,44.655172,16.593886,28.061286,51.393189,53.333333,50.643777,233,90,31.509847,11.290323,5.555556,-11.909028,-14.554762,-7.806538,-8.460257,-3.929363,-18.185255,-7.578102,2,4.299783,True,2,4.233454,True,True,-2.378049,-3.108654,-1.640351,-1.193872,-1.277698,-3.000131,-1.480206
2023,50458,김지찬,SAM,L,1303,True,-3.8625,-4.624508,2.601,74.774712,5.738658,35.99386,54.262295,19.91342,34.348875,55.589124,59.375,54.042553,235,96,43.945312,15.84507,8.522727,-3.477473,-10.434312,-5.234691,-4.185826,-0.354617,-5.793318,-5.744445,2,1.830551,False,2,1.830341,False,True,-0.694398,-2.228595,-1.099941,-0.590684,-0.11531,-0.955758,-1.122044
2023,64984,김태진,KIW,L,765,True,7.427278,0.865101,50.0,33.959221,4.439114,55.424837,72.639225,35.227273,37.411952,74.122807,80.882353,71.25,160,68,63.384615,30.769231,1.785714,8.34643,9.344122,4.24576,7.470334,-3.7048,13.403344,2.738476,1,2.422358,False,1,2.4615,False,True,1.666653,1.995748,0.892141,1.054179,-1.204678,2.21123,0.534897
2023,50902,김한별,NC,R,390,True,3.87592,-1.149533,27.457,18.755011,4.808977,52.051282,70.135747,28.402367,41.73338,75.0,88.0,71.578947,95,25,56.603774,26.25,6.451613,8.24785,0.880757,8.445403,18.203275,-0.281835,6.71155,6.269241,1,2.204852,False,1,2.226674,False,True,1.646968,0.188115,1.774593,2.568762,-0.091643,1.107245,1.22455
2023,68912,김형준,NC,R,345,True,-5.533184,1.202239,55.202,16.88106,4.893061,40.869565,61.111111,18.787879,42.323232,63.541667,86.363636,56.756757,74,22,46.206897,13.157895,10.714286,-3.584131,-6.821085,-6.891373,12.346617,5.43177,-3.789276,-12.290573,2,3.27591,True,2,3.659799,True,True,-0.715696,-1.45687,-1.448052,1.742298,1.766231,-0.62514,-2.400677
2023,62947,나성범,KIA,L,905,True,10.978309,3.62886,89.306,44.411107,4.907305,54.254144,81.326781,32.128514,49.198267,84.931507,86.764706,84.10596,151,68,60.297767,26.237624,11.111111,13.734846,8.493069,10.496586,8.393076,7.325706,10.194338,11.20205,1,3.03204,True,1,3.104245,True,True,2.742637,1.813978,2.205598,1.184392,2.382076,1.681821,2.18806
