season,batter_id,batter_name,team,batter_stance,pitches_seen,qualified_300,swing_aggression,za_raw,za_percentile,raw_dv,dv_per_100,swing_pct,z_swing_pct,o_swing_pct,z_minus_o_swing,heart_swing_pct,meatball_swing_pct,heart_only_swing_pct,heart_only_pitches,meatball_pitches,shadow_swing_pct,chase_swing_pct,waste_swing_pct,z_swing_residual,o_swing_residual,heart_swing_residual,meatball_swing_residual,waste_swing_residual,shadow_swing_residual,heart_only_swing_residual,cluster_id,cluster_distance,cluster_distance_outlier,sensitivity_cluster_id,sensitivity_cluster_distance,sensitivity_cluster_distance_outlier,sensitivity_residual_outlier,z_swing_residual_z,o_swing_residual_z,heart_swing_residual_z,meatball_swing_residual_z,waste_swing_residual_z,shadow_swing_residual_z,heart_only_swing_residual_z
2025,62907,박민우,NC,,1719,True,-0.732935,1.852666,69.883,103.300973,6.009364,44.618965,65.685019,27.078891,38.606128,70.432692,74.626866,68.439716,282,134,51.444292,23.650386,4.278075,-1.381885,-1.70126,-1.762713,-0.561952,-2.693762,-3.024307,-2.559042,1,0.798127,False,1,0.695024,False,False,-0.252754,-0.302644,-0.327105,-0.077129,-0.623053,-0.45981,-0.448742
2025,53204,박민준,DOO,,8,False,-2.98521,7.872304,98.83,0.495527,6.194082,62.5,80.0,33.333333,46.666667,100.0,,100.0,1,0,80.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2025,75125,박병호,SAM,,981,True,-0.006661,3.516842,88.012,66.878844,6.817415,44.444444,66.893424,26.111111,40.782313,73.451327,67.142857,76.282051,156,70,55.586592,23.015873,8.965517,-2.14499,-1.448483,-1.024174,-10.511491,3.30756,0.422897,3.080348,1,1.84896,False,1,2.113469,False,False,-0.39233,-0.257676,-0.190055,-1.442723,0.765021,0.064296,0.540156
2025,51298,박성재,DOO,,27,False,4.329597,-15.354559,0.0,1.158404,4.290384,48.148148,50.0,46.666667,3.333333,60.0,0.0,75.0,4,1,54.545455,57.142857,0.0,,,,,,,,,,,,,,,,,,,,,
2025,67893,박성한,SSG,,2436,True,-14.29274,-3.804701,4.971,179.199604,7.356306,32.799672,48.266898,18.876755,29.390143,52.396694,55.232558,51.270208,433,172,39.832285,14.237288,6.271777,-12.097856,-14.052682,-12.047527,-11.574692,-5.166594,-12.273335,-12.239637,1,3.38263,True,1,3.413865,True,True,-2.212759,-2.499888,-2.235649,-1.588649,-1.195006,-1.866015,-2.146289
2025,62244,박세혁,NC,,365,True,4.960191,4.609603,94.444,21.175938,5.801627,55.616438,78.977273,33.862434,45.114839,88.043478,90.909091,87.142857,70,22,62.658228,25.316456,8.333333,8.644291,7.104304,12.070781,11.635783,3.538119,7.038107,12.494616,2,1.871021,False,2,1.822302,False,True,1.581085,1.263813,2.239965,1.597034,0.818348,1.070061,2.191001
2025,52305,박수종,KIW,,188,False,-4.560561,-2.117036,17.544,13.874191,7.379889,47.87234,62.637363,34.020619,28.616744,65.57377,73.333333,63.043478,46,15,51.470588,30.952381,11.764706,,,,,,,,,,,,,,,,,,,,,
2025,69418,박승규,SAM,,833,True,-0.19926,-0.167721,45.322,52.032559,6.246406,44.777911,65.940054,28.111588,37.828466,72.815534,74.545455,72.18543,151,55,49.6875,28.282828,7.33945,1.266655,-2.150377,3.38827,2.349904,-1.227498,-3.93722,3.861149,1,1.812537,False,1,1.774723,False,False,0.231678,-0.382539,0.628758,0.322529,-0.283914,-0.598608,0.677074
2025,62802,박승욱,LOT,,363,True,2.104622,1.523897,65.205,23.72693,6.536344,47.658402,67.682927,31.155779,36.527148,68.539326,75.757576,64.285714,56,33,60.273973,27.710843,2.222222,1.005508,2.134498,-3.205632,1.05584,-5.00918,5.942695,-6.277838,1,2.23989,False,1,2.251098,False,False,0.183912,0.379714,-0.594866,0.144916,-1.158597,0.903516,-1.100854
2025,50996,박시원,NC,,218,False,1.374192,0.112355,51.462,9.067562,4.159432,45.412844,62.765957,32.258065,30.507892,71.111111,75.0,68.965517,29,16,56.818182,27.586207,3.703704,,,,,,,,,,,,,,,,,,,,,
2025,50906,박영빈,NC,,21,False,-7.153718,1.792545,68.421,0.816755,3.889308,33.333333,50.0,23.076923,26.923077,50.0,,50.0,4,0,37.5,33.333333,16.666667,,,,,,,,,,,,,,,,,,,,,
2025,55563,박재엽,LOT,,59,False,1.813536,11.987671,100.0,3.031313,5.137818,45.762712,76.0,23.529412,52.470588,78.947368,87.5,72.727273,11,8,55.0,6.666667,0.0,,,,,,,,,,,,,,,,,,,,,
2025,55636,박재현,KIA,,263,False,2.071381,-3.908078,4.678,13.624777,5.180524,46.007605,63.793103,31.972789,31.820314,65.079365,73.684211,61.363636,44,19,50.46729,38.983051,8.823529,,,,,,,,,,,,,,,,,,,,,
2025,67609,박정우,KIA,,294,False,0.340099,4.21724,91.813,21.009403,7.146056,43.197279,72.0,21.893491,50.106509,83.928571,69.230769,88.372093,43,13,50.393701,17.647059,9.302326,,,,,,,,,,,,,,,,,,,,,
2025,50709,박정현,HAN,,8,False,-1.963091,0.576436,55.556,1.478074,18.475924,50.0,80.0,0.0,80.0,100.0,100.0,100.0,2,1,25.0,,0.0,,,,,,,,,,,,,,,,,,,,,
