season,batter_id,batter_name,team,pitches_seen,qualified_300,za_raw,dv_per_100,raw_dv,swing_aggression,zone_judgment_raw,za_percentile,low_opposite_support_pitches,low_opposite_support_pct,za_ci_low,za_ci_high,games_seen,swing_pitches,swing_decision_value_per_100,take_pitches,take_decision_value_per_100,heart_pitches,heart_raw_dv,heart_decision_value_per_100,heart_swing_decision_value_per_100,heart_take_decision_value_per_100,shadow_in_pitches,shadow_in_raw_dv,shadow_in_decision_value_per_100,shadow_in_swing_decision_value_per_100,shadow_in_take_decision_value_per_100,shadow_out_pitches,shadow_out_raw_dv,shadow_out_decision_value_per_100,shadow_out_swing_decision_value_per_100,shadow_out_take_decision_value_per_100,chase_pitches,chase_raw_dv,chase_decision_value_per_100,chase_swing_decision_value_per_100,chase_take_decision_value_per_100,waste_pitches,waste_raw_dv,waste_decision_value_per_100,waste_swing_decision_value_per_100,waste_take_decision_value_per_100
2024,79109,오지환,LG,1760,True,0.531022,0.531022,9.34598,-0.650816,5.036348,95.16129,1760,100.0,0.251068,0.793955,106,788,-0.146867,972,0.677889,439,1.642604,0.09333,0.261007,-0.167677,370,0.660376,0.037521,0.237174,-0.199653,297,1.620353,0.092065,-0.188594,0.28066,421,4.274827,0.242888,-0.347684,0.590572,233,1.14782,0.065217,-0.108769,0.173987
2024,69102,문보경,LG,2436,True,0.190801,0.190801,4.64792,-0.681288,3.216993,69.354839,2436,100.0,-0.035983,0.413509,142,1109,-0.203686,1327,0.394488,604,0.300565,0.012338,0.254685,-0.242347,503,-0.944663,-0.038779,0.225633,-0.264412,471,0.605983,0.024876,-0.204937,0.229813,577,3.054833,0.125404,-0.410521,0.535924,281,1.631201,0.066962,-0.068547,0.135509
2024,79365,박동원,LG,2007,True,0.455378,0.455378,9.139438,0.891735,4.689465,90.645161,2007,100.0,0.181347,0.772636,129,928,-0.338582,1079,0.79396,465,0.207796,0.010354,0.226094,-0.21574,387,-1.643034,-0.081865,0.194091,-0.275956,400,4.650027,0.23169,-0.196348,0.428039,489,5.106904,0.254455,-0.407708,0.662162,266,0.817745,0.040745,-0.154711,0.195456
2024,68119,문성주,LG,1405,True,0.231281,0.231281,3.249495,-3.307135,0.975666,73.870968,1404,99.928826,-0.102408,0.542692,96,550,-0.28918,855,0.520461,331,0.370717,0.026386,0.21855,-0.192165,290,0.081574,0.005806,0.163748,-0.157942,290,1.535169,0.109265,-0.192557,0.301822,334,0.814026,0.057938,-0.383394,0.441331,160,0.448008,0.031887,-0.095528,0.127415
2024,65207,신민재,LG,1764,True,-0.025702,-0.025702,-0.453379,-2.62724,0.705897,49.354839,1764,100.0,-0.302822,0.224548,124,707,-0.322063,1057,0.296361,419,-1.205714,-0.068351,0.201939,-0.27029,358,-0.615592,-0.034898,0.1713,-0.206198,325,-1.504978,-0.085316,-0.247003,0.161687,425,2.216497,0.125652,-0.319414,0.445065,237,0.656408,0.037211,-0.128885,0.166097
2024,62700,하주석,HAN,512,True,-0.507746,-0.507746,-2.599658,14.600812,-1.049287,9.354839,511,99.804688,-1.129143,0.137902,56,300,-1.009926,212,0.50218,122,0.956088,0.186736,0.254514,-0.067778,100,0.818156,0.159796,0.251338,-0.091542,98,-0.442895,-0.086503,-0.284067,0.197564,128,-2.831457,-0.553019,-0.948082,0.395063,64,-1.099551,-0.214756,-0.283628,0.068872
2024,78288,최재훈,HAN,1403,True,0.479686,0.479686,6.729989,-9.691127,-2.11282,92.580645,1403,100.0,0.192578,0.758975,107,547,-0.109786,856,0.589471,378,-0.02571,-0.001832,0.198643,-0.200476,296,-1.774311,-0.126466,0.190468,-0.316933,265,2.797793,0.199415,-0.116336,0.315751,317,4.225221,0.301156,-0.359498,0.660655,147,1.506996,0.107412,-0.023062,0.130475
2024,66704,김태연,HAN,1814,True,0.206794,0.206794,3.751246,-1.540103,1.249015,70.645161,1814,100.0,-0.05777,0.447757,118,820,-0.301022,994,0.507816,425,1.544633,0.085151,0.221901,-0.13675,409,-2.143673,-0.118174,0.189498,-0.307672,334,0.122016,0.006726,-0.188915,0.195641,427,1.703948,0.093933,-0.457473,0.551406,219,2.524323,0.139158,-0.066033,0.205191
2024,52591,윤동희,LOT,2618,True,0.250286,0.250286,6.552497,-5.523026,-0.381457,76.451613,2618,100.0,0.045008,0.455341,139,1080,-0.274163,1538,0.52445,616,-1.484103,-0.056688,0.181761,-0.23845,600,0.052686,0.002012,0.245734,-0.243722,471,2.03904,0.077885,-0.224603,0.302489,618,3.616032,0.138122,-0.385033,0.523154,313,2.328842,0.088955,-0.092023,0.180978
2024,69517,고승민,LOT,2055,True,-0.398266,-0.398266,-8.184356,-1.319243,-3.267281,15.16129,2055,100.0,-0.617453,-0.181381,120,881,-0.557022,1174,0.158757,468,-0.239629,-0.011661,0.201586,-0.213247,457,-0.092142,-0.004484,0.197764,-0.202248,391,-1.029803,-0.050112,-0.204797,0.154685,479,-4.475344,-0.217778,-0.520053,0.302275,260,-2.347438,-0.114231,-0.231522,0.117292
2024,54529,레이예스,LOT,2442,True,-0.307493,-0.307493,-7.50897,7.738006,-2.498498,23.548387,2442,100.0,-0.544323,-0.063768,144,1283,-0.618046,1159,0.310553,551,1.547735,0.06338,0.199986,-0.136606,487,3.300363,0.13515,0.233674,-0.098524,480,-3.495062,-0.143123,-0.258904,0.115781,610,-9.676292,-0.396245,-0.700512,0.304267,314,0.814286,0.033345,-0.092291,0.125636
