season,batter_id,batter_name,batter_stance,pitches_seen,qualified_300,swing_pct,expected_swing_pct,decision_value,decision_value_per_100,decision_capture_pct,swing_pitches,swing_decision_value_per_100,take_pitches,take_decision_value_per_100,in_zone_pitches,in_zone_decision_value_per_100,out_zone_pitches,out_zone_decision_value_per_100,heart_pitches,heart_decision_value_per_100,heart_swing_decision_value_per_100,heart_take_decision_value_per_100,shadow_pitches,shadow_decision_value_per_100,shadow_swing_decision_value_per_100,shadow_take_decision_value_per_100,chase_pitches,chase_decision_value_per_100,chase_swing_decision_value_per_100,chase_take_decision_value_per_100,waste_pitches,waste_decision_value_per_100,waste_swing_decision_value_per_100,waste_take_decision_value_per_100,za_with_contact_plus,z_za_with_contact_plus,o_za_with_contact_plus,z_swing_pct,o_swing_pct,heart_swing_pct,shadow_in_swing_pct,shadow_out_swing_pct,chase_swing_pct,waste_swing_pct,shadow_in_pitches,shadow_out_pitches,heart_vs_chase_residual,zone_vs_out_residual,pure_hc_residual_z,pure_zo_residual_z,pure_z_attack_z,out_zone_take_pct,pure_o_restraint_z,pure_cluster_id,pure_cluster_distance,pure_hc_residual_z_adjusted,pure_zo_residual_z_adjusted,pure_z_attack_z_adjusted,pure_o_restraint_z_adjusted,zone_awareness_raw,z_zone_awareness_raw,o_zone_awareness_raw,zone_awareness_plus,z_zone_awareness_plus,o_zone_awareness_plus,za_with_contact_value,za_with_contact_per_100
2025,69064,강민성,,175,False,37.142857,45.75088,9.781222,5.58927,45.394206,65,3.073709,110,7.075737,74,4.434468,101,6.435362,36,5.509223,13.550552,-4.542437,73,1.699057,3.258261,0.006207,44,7.837631,-27.86198,14.591612,22,14.131966,,14.131966,95.232,77.936,103.227,59.4595,20.7921,55.5556,63.1579,40.0,15.9091,0.0,38,35,-11.225011,-0.408797,-1.814078,-0.077537,-0.914147,79.2079,1.52667,1,2.299037,-1.284806,0.421735,-0.344935,1.249224,-0.431535,-0.344935,1.249224,90.082,92.306,124.061,9.781222,5.58927
2025,74540,강민호,,1678,True,45.887962,44.13167,98.755522,5.885311,51.560638,770,3.78696,908,7.66475,787,5.222549,891,6.470714,416,6.665353,11.498972,-4.587313,668,2.643286,3.171619,1.991262,391,6.341102,-14.015461,13.149782,203,14.07724,-18.921138,16.150436,99.515,90.892,103.521,66.709,27.4972,69.9519,63.0728,45.4545,25.0639,5.9113,371,297,0.539002,2.870102,0.087108,0.544377,0.228205,72.5028,0.402551,3,0.858054,-0.009312,0.425897,0.291925,0.111222,0.208293,0.291925,0.111222,104.787,106.511,102.142,98.755522,5.885311
2025,68050,강백호,,1444,True,42.728532,42.198885,83.839995,5.806094,46.563428,617,1.195898,827,9.245624,597,5.27618,847,6.179598,318,6.799855,13.416621,-3.830361,539,2.442832,2.169687,2.744785,365,4.302244,-17.463756,14.831326,222,15.020902,-22.506493,18.533318,98.369,91.774,101.102,60.469,30.2243,61.6352,59.1398,45.3846,32.6027,8.5586,279,260,-9.945336,-4.984822,-1.607269,-0.94548,-0.755074,69.7757,-0.054651,1,1.224075,-1.077997,-0.446208,-0.185862,-0.332097,-0.762103,-0.185862,-0.332097,82.485,95.854,93.604,83.839995,5.806094
2025,54506,강승구,,1,False,100.0,39.871067,-0.051793,-5.179276,-100.0,1,-5.179276,0,,0,,1,-5.179276,0,,,,1,-5.179276,-5.179276,,0,,,,0,,,,-60.547,,6.707,,100.0,,,100.0,,,0,1,,,,,,0.0,-11.752644,,,,,,-11.752644,,,-11.752644,,,-126.367,-0.051793,-5.179276
2025,63123,강승호,,1516,True,51.781003,45.582734,82.403417,5.435582,45.861496,785,2.293175,731,8.810123,684,6.637192,832,4.44772,346,7.60388,11.425202,-3.772242,610,2.674828,3.192342,1.770343,354,2.672744,-16.68279,12.72433,206,14.716521,-22.293913,18.045502,93.009,114.149,86.71,72.5146,34.7356,74.8555,70.1183,55.5147,34.1808,8.2524,338,272,2.821211,4.389294,0.455937,0.832525,1.143033,65.2644,-0.810977,4,1.107556,-0.193733,0.167108,0.502719,-0.653779,-0.013312,0.502719,-0.653779,99.694,111.213,87.408,82.403417,5.435582
2025,62925,강진성,,45,False,44.444444,42.801071,3.128019,6.951153,59.6665,20,1.996159,25,10.915148,21,4.292152,24,9.277779,11,4.852334,8.726559,-1.927561,18,3.285705,1.512005,5.50283,10,10.913445,-12.094264,20.773892,6,15.19151,,15.19151,114.934,75.596,126.848,61.9048,29.1667,63.6364,60.0,50.0,30.0,0.0,10,8,-7.195779,-2.922736,-1.162912,-0.55436,-0.528825,70.8333,0.122657,1,1.989443,-0.63364,-0.055088,0.040387,-0.154789,-0.344364,0.040387,-0.154789,92.086,100.901,97.019,3.128019,6.951153
2025,51269,강현구,,8,False,75.0,49.394047,-0.431379,-5.392239,-42.362319,6,-9.040772,2,5.55336,2,9.09032,6,-10.219758,2,9.09032,9.09032,,5,-13.4746,-18.106317,5.052269,1,6.054451,,6.054451,0,,,,-63.627,154.479,-35.18,100.0,66.6667,100.0,,80.0,0.0,,0,5,37.793747,12.965855,6.10786,2.459256,5.474094,33.3333,-6.16427,,,6.10786,2.459256,5.474094,-6.16427,4.283558,5.474094,-6.16427,198.446,222.099,-18.73,-0.431379,-5.392239
2025,50066,강현우,,288,False,42.361111,42.214866,20.348743,7.065536,62.462798,122,4.66496,166,8.829814,133,5.745273,155,8.198406,58,5.559713,10.715413,-3.524139,126,5.555264,7.558536,3.42063,67,8.00575,-15.568145,15.401482,37,12.86655,-17.389937,16.534003,116.588,99.486,117.879,63.1579,24.5161,63.7931,62.6667,35.2941,23.8806,10.8108,75,51,-5.279563,1.084339,-0.853232,0.205668,-0.331366,75.4839,0.902336,3,1.848812,-0.949652,0.087188,-0.267646,0.611007,-0.431232,-0.267646,0.611007,90.089,94.03,111.769,20.348743,7.065536
2025,51868,고명준,,1689,True,52.457075,44.308908,70.422683,4.16949,35.283329,886,0.989945,803,7.677681,775,5.282147,914,3.226044,464,6.277071,10.575611,-6.618548,628,0.814568,-0.304703,2.378128,388,3.102783,-15.324938,13.389744,209,11.551575,-17.016184,16.90803,74.694,91.872,76.557,71.4839,36.3239,75.0,66.2379,50.4732,35.8247,15.7895,311,317,2.493039,2.41804,0.402901,0.458634,0.980619,63.6761,-1.077258,2,1.323838,0.533598,0.675714,0.819354,-0.4635,0.604656,0.819354,-0.4635,113.896,118.276,91.073,70.422683,4.16949
2025,69517,고승민,,2150,True,39.72093,45.659543,135.553617,6.304819,53.29291,854,4.688891,1296,7.369636,1018,5.743675,1132,6.809453,560,7.443432,14.263716,-3.752128,837,2.926277,3.26004,2.647409,526,7.789097,-16.937901,13.956164,227,12.514012,-21.152775,15.766842,105.584,99.46,106.336,56.6798,24.47,62.1429,50.0,40.1055,19.962,8.8106,458,379,-5.803044,-5.366462,-0.937832,-1.017866,-1.352164,75.53,0.910065,1,0.716384,-0.40856,-0.518594,-0.782952,0.632619,-0.463577,-0.782952,0.632619,89.346,82.536,112.185,135.553617,6.304819
